Ortholog	LFQ.intensity.p01	LFQ.intensity.p02	LFQ.intensity.p03	LFQ.intensity.p04	LFQ.intensity.p05	LFQ.intensity.p06	LFQ.intensity.p07	LFQ.intensity.p08	LFQ.intensity.p09	LFQ.intensity.p10	LFQ.intensity.p11	LFQ.intensity.p12	LFQ.intensity.p13	LFQ.intensity.p14	LFQ.intensity.p15
ENSG00000138760	2931400	2635300	3152600	2782900	1996100	3003100	3267000	2050700	2060000	3214700	0	1132900	1380000	2022700	1725500
ENSG00000138768	5658800	5129800	4583900	5260100	4972700	4065000	4362800	3883900	4713400	3837600	3070800	3222000	3634900	3431900	3539700
ENSG00000138772	43711000	47704000	38359000	37804000	40299000	46832000	46591000	43309000	45551000	60575000	21883000	21520000	17842000	20948000	20322000
ENSG00000138777	792000	0	1427700	2139500	0	1897900	1653100	1881000	1224300	0	1517000	2079200	3502800	1866800	2829800
ENSG00000138796	3657300	6228500	4798100	3396800	4198300	3496900	5071900	6780500	4930500	4263000	1995300	1629300	5011700	6226400	3318000
ENSG00000138802	0	0	0	363690	0	532640	419460	0	0	424170	321870	0	0	338320	423270
ENSG00000138814	3160200	3719600	3143800	3516400	2815000	4419000	4174300	3778500	4232900	4632400	5023300	5534300	5978300	3915700	5748100
ENSG00000138829	39849000	46297000	34760000	24690000	24368000	6612700	4097500	7933100	1879100	5383600	808410	0	1043800	580000	773530
ENSG00000138834	0	0	0	0	0	0	1203300	0	642460	570410	701850	1174900	869400	837220	852020
ENSG00000139116	0	2083700	0	1883900	1286000	2398800	2755200	2343000	1977900	3006500	3693100	3141500	2683700	2754300	2301300
ENSG00000139117	0	0	538530	965750	760840	1062700	828880	687850	1105700	745420	1508400	1281000	1328400	1500200	1310600
ENSG00000139180	9505600	8934900	8466500	9070400	7311600	9543900	10798000	11287000	11045000	12142000	16632000	16252000	12226000	14429000	16352000
ENSG00000139190	3166500	4317600	6190500	6379500	10761000	15644000	8035800	6950100	5694900	7357100	23861000	9650800	18945000	11968000	12355000
ENSG00000139223	3384400	2907300	3090500	2583200	2125800	2590300	2229300	0	2244300	2452700	0	1895400	0	1436200	1600500
ENSG00000139329	7890800	6341800	8099200	5266700	5540100	1356300	3328500	4500500	2395700	3031700	3969200	3050200	1828900	3318400	2839700
ENSG00000139343	0	0	0	0	0	0	0	0	380150	0	0	0	0	0	0
ENSG00000139410	0	0	0	0	0	817950	963190	684270	940260	828830	960400	979870	837840	1247300	0
ENSG00000139428	0	0	0	0	0	0	0	0	0	0	0	0	0	759970	0
ENSG00000139433	14094000	21452000	14044000	18200000	17139000	23354000	24508000	24509000	23492000	19921000	24866000	30705000	26365000	28292000	23934000
ENSG00000139436	0	0	1375700	0	0	1190600	0	1049300	0	0	690310	0	0	1098800	0
ENSG00000139613	0	0	1071200	1292600	855600	0	0	0	0	0	0	0	0	0	0
ENSG00000139626	9262200	5872000	6908000	5693400	5741800	4019700	3590200	3346200	4024300	3425200	0	0	1138400	0	0
ENSG00000139631	375990	465360	351960	513620	0	540090	563090	0	367030	312200	551050	655810	630930	737140	945780
ENSG00000139637	0	0	0	0	295310	0	0	460400	0	0	0	0	0	0	0
ENSG00000139684	4104400	4491000	4173300	4021400	4947800	4499000	4064700	5330900	5457700	4594000	5382400	6963900	4680200	5596200	5112200
ENSG00000139746	0	0	0	0	0	0	0	0	0	0	70478	0	0	0	0
ENSG00000139793	0	0	0	0	0	0	2035800	0	0	0	0	0	0	0	0
ENSG00000139921	2185800	2017100	2173700	2112300	2591900	2041300	2711400	2130800	2116000	2083200	2040100	3018800	1049700	1771900	1657600
ENSG00000139970	10206000	18083000	12932000	18491000	16338000	25799000	23426000	21569000	20552000	19784000	20094000	27658000	23315000	24370000	26486000
ENSG00000139998	31320000	28745000	40520000	33280000	30575000	24018000	41991000	34069000	32990000	41842000	24775000	36560000	24565000	35137000	29763000
ENSG00000140043	882140	2083600	0	2169400	2235700	1887800	1403900	1961400	1841000	1266200	1647300	1769300	3238300	1946000	1725900
ENSG00000140105	3993700	3450900	3360800	4334400	4323400	4807800	5086600	5217700	5228700	5237300	6617200	5949100	6074400	6143100	7056300
ENSG00000140199	538560	635250	592860	496720	0	537030	553290	567570	0	577140	502210	582180	0	479280	0
ENSG00000140263	3177500	3870600	2835200	3750300	3280200	4156000	5071400	5159000	6167900	5678000	5449800	5542300	5297200	4638200	4405400
ENSG00000140319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388340
ENSG00000140350	3384400	2907300	3090500	2583200	2125800	2590300	2229300	0	2244300	2452700	0	1895400	0	1436200	1600500
ENSG00000140365	0	0	0	0	0	0	0	0	0	0	0	0	0	704210	0
ENSG00000140374	12303000	11441000	8979300	8269300	8528800	12381000	11160000	8668900	10600000	11145000	11512000	16179000	11635000	11174000	10612000
ENSG00000140395	1090400	0	0	0	0	0	0	0	0	1026100	0	0	0	0	0
ENSG00000140400	1754600	1476400	1712600	1694300	1727600	1382600	1699000	1282400	1558000	1137200	1033000	1092300	1109800	1609400	1318000
ENSG00000140403	0	0	0	0	0	0	562410	579920	0	0	500160	0	1122600	496130	909880
ENSG00000140416	0	0	1079700	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140522	0	0	0	0	0	0	0	0	0	0	799180	1123800	1524500	0	0
ENSG00000140575	28065000	14938000	19121000	7638600	12311000	10079000	8011100	3489900	2087800	6259300	359160	283890	0	343840	0
ENSG00000140612	0	2181000	2198100	1977000	1747400	2081200	1901800	1917300	2062400	1725900	988740	0	0	0	0
ENSG00000140650	0	0	1175200	2009200	0	1251800	0	0	0	2298300	0	0	1462800	1616100	0
ENSG00000140678	883460	0	192310	0	0	230120	204830	0	0	0	0	0	0	0	0
ENSG00000140740	22906000	19430000	24151000	26171000	32866000	29148000	28935000	26958000	22778000	13876000	16480000	15333000	14744000	15180000	19436000
ENSG00000140750	0	0	0	0	2579900	0	0	0	0	0	0	0	0	0	0
ENSG00000140848	0	0	538530	965750	760840	1062700	828880	687850	1105700	745420	1508400	1281000	1328400	1500200	1310600
ENSG00000140905	0	1175300	0	1747800	2310800	2004900	1774800	1527800	1384600	2053400	3063200	4626700	0	2833100	1971600
ENSG00000140937	0	1547800	0	0	0	0	0	0	0	0	0	0	0	0	0
