M0	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15
ENSG00000188290	0.181739910963948	-0.570481205096175	0.189068255072992	0.536376158421229	-0.232099120194499	0.570150519005778	-0.305474910782197	-0.00901194053679644	0.0413815555869363	0.0298876872149731	0.131650772304912	0.0385595577209643	0.434830188142786	-0.0658567863167288	-0.420262493925817	0.337979661029378
ENSG00000187608	-0.219058314895574	-0.43983390912802	0.49763707385357	0.0606293050017441	0.0326095433601156	0.546061385801796	-0.411647010075093	-0.0143982904253735	0.0458699267508287	0.0611461730522015	0.0164955187725309	-0.241249672044114	0.497760815513765	-0.127356918532206	-0.334491283649025	0.289594413636824
ENSG00000188157	0.399029388175246	-0.0418802726349828	0.256297901189159	-0.0799461484154419	-0.282261714549806	0.2147417354675	-0.37931192324512	-0.238998610183677	-0.454573268296911	-0.160393157483389	0.0520189981173278	-0.170393295815557	0.0551104059959645	0.505869671955239	0.142326681069885	0.18221200270204
ENSG00000078808	0.66052723576499	-0.186092009698776	0.0242044409397817	0.285488659142938	-0.455616489587999	0.239058104227525	-0.248810639030144	0.0164436599625697	-0.239490241394721	-0.201207623681824	0.306374508323664	0.129997859345294	-0.0115113233057072	0.570723549912693	0.0345362916901081	0.358280681869272
ENSG00000176022	0.198801214244526	0.11047791586197	0.191418004515621	-0.297136415465449	0.0774349007991212	0.0259712101313931	-0.43567137476519	-0.31746439874249	-0.154352206778899	-0.42995376067326	0.590326327010307	0.180727806049275	0.377152549114489	0.119698208513337	-0.428695480149579	0.526193946074099
ENSG00000160087	0.451515683769477	-0.34668713945833	0.122616520967316	0.263783982573512	0.0598761531748461	0.394975704825556	-0.366331268869546	-0.149156566324048	0.156350406341663	-0.225195240530705	0.513517321160471	0.116183924724494	0.34875701005503	0.128106396056267	-0.450506124807344	0.784915748335872
ENSG00000162572	0.430996061719253	0.23151698665586	0.288606104817053	-0.482875553510296	-0.0310370241956027	-0.0192576022335051	-0.525687918964858	-0.366522785509933	-0.423146678618987	-0.164229969796593	0.119428981387627	-0.381371582371824	-0.141686878001219	0.590199823333039	0.044664598491517	0.330195710783531
ENSG00000131584	0.249758716125957	-0.19298350788835	0.650180901644498	-0.291477639009461	-0.0430868553308994	0.428248051484518	-0.716369425139814	-0.278182818158682	-0.269288755817748	0.0301075663751201	-0.0502588844778846	-0.614565636349305	0.146385259864686	0.481602579026161	-0.0485204979291805	0.40462030277553
ENSG00000169972	0.0770601111811416	-0.255755238835177	-0.0585538261860484	0.306146595048308	-0.0546892336556977	0.177650818515752	-0.0353189181799547	0.0872737738266017	0.231508695371794	-0.110258763313101	0.381377557896266	0.329185650671697	0.303799434284945	-0.171910360799153	-0.451551181946042	0.27953616359987
ENSG00000127054	0.73233650160444	-0.148287725013417	0.238639514164132	0.0415439210738107	-0.298910693841261	0.293593340989956	-0.449665677265942	-0.116641235174013	-0.37978994570159	-0.0895924126443129	0.0739092994147986	-0.280333085422402	-0.148417654136074	0.801127592963674	0.16240152861381	0.419008779299335
ENSG00000240731	0.459455710020084	0.177096741918441	0.116616664186701	-0.228791534644562	-0.290209650980803	-0.0342369554305094	-0.153332813374407	-0.121959299089528	-0.499897126083029	-0.215033243760643	-0.11212260976431	-0.205556448162545	-0.289345775049994	0.743518049621991	0.556762479940309	0.00134510110660528
ENSG00000224051	0.442662612849297	-0.152869753724322	0.294086017863969	-0.0542408221272447	-0.0302009170147943	0.307313698608272	-0.570291859565926	-0.257848864496382	-0.19426633449594	-0.266857704434944	0.535323929185285	0.0371557028268551	0.365523381311567	0.248566195050899	-0.485692395460534	0.710705605298229
ENSG00000107404	0.597946216636911	-0.479835033590561	0.341806193124812	0.240527401052841	-0.0209912537283172	0.580503555209317	-0.623928213287283	-0.0802105999575238	0.0828209169218567	-0.156833623000954	0.392055903882111	-0.159763808321085	0.358495995237193	0.393418847806522	-0.299577596896436	0.798384547749961
