condition	level	type	time	species	strain	tissue	gene.name	accession	db	pmid	direction	technique	technique.subtype	ensembl
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Peroxiredoxin-2	P35704	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000167815
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Apolipoprotein A-I precursor	P04639	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000118137
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Phosphatidylethanolamine-binding protein 1	P31044	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000089220
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Calmodulin (CaM)	P62161	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000143933
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Calmodulin (CaM)	P62161	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000198668
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Calmodulin (CaM)	P62161	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000160014
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Protein S100-B	P04631	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000160307
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Transthyretin precursor	P02767	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000118271
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Triose-phosphate isomerasei	P48500	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000111669
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Peroxiredoxin-6	O35244	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000117592
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Y-Synuclein	Q63544	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000173267
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Galectin-1	P11762	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000100097
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Neurofilament triplet L protein	P19527	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000277586
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Glutamine synthetase	P09606	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000135821
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	"Glial fibrillary acidic protein, astrocyte"	P47819	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000131095
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Creatine kinase B-type	P07335	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000166165
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Lactoylglutathione lyase	Q6P7Q4	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000124767
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Triose-phosphate isomerase	P48500	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000111669
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Succinyl-CoA ligase	P13086	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000163541
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	a-Internexin	P23565	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000148798
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	"Fatty acid-binding protein, brain"	P55051	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000164434
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Isocitrate dehydrogenase	Q99NA5	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000166411
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Heat shock 27-kDa protein	P42930	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000106211
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Dihydropyrimidinase-related protein 2	P47942	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000092964
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Annexin A3	P14669	UniProt	18482974	downregulated	proteomics	2-DE	ENSG00000138772
spinal cord injury	T9	contusion	1d	10116	Sprague-Dawley	spinal cord;parenchyma	Rab GDP dissociation inhibitor	P50398	UniProt	18482974	upregulated	proteomics	2-DE	ENSG00000203879
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Peroxiredoxin 1	16923958	GI	19119913	upregulated	proteomics	2-DE	ENSG00000117450
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Septin 6 (predicted)	157821523	GI	19119913	upregulated	proteomics	2-DE	ENSG00000138758
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Lectin, galactose binding, soluble 3"	P08699	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000131981
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Glutathione S-transferase, pi 1"	P04906	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000084207
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Isocitrate dehydrogenase 3 (NAD), gamma"	54020666	GI	19119913	upregulated	proteomics	2-DE	ENSG00000067829
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	3-Phosphoglycerate dehydrogenase	13928850	GI	19119913	upregulated	proteomics	2-DE	ENSG00000092621
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Aldehyde dehydrogenase 1 family, member B1"	58865518	GI	19119913	upregulated	proteomics	2-DE	ENSG00000137124
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Similar to 3-oxoacid CoA transferase 1	NP_001121052	RefSeq	19119913	upregulated	proteomics	2-DE	ENSG00000083720
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Adenylate cyclase-associated protein 1	59709467	GI	19119913	upregulated	proteomics	2-DE	ENSG00000131236
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	4-Aminobutyrate aminotransferase	122065191	GI	19119913	upregulated	proteomics	2-DE	ENSG00000183044
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Isocitrate dehydrogenase 3 (NAD_) alpha	P41562	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000138413
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Malate dehydrogenase 1, NAD (soluble)"	15100179	GI	19119913	upregulated	proteomics	2-DE	ENSG00000014641
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Lactate dehydrogenase B	P42123	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000111716
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Annexin A3	P14669	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000138772
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Similar to metallo-beta-lactamase superfamily protein-like (XL884) (predicted)	157821863	GI	19119913	upregulated	proteomics	2-DE	ENSG00000176055
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Heat shock 27-kDa protein 1	NP_114176	RefSeq	19119913	upregulated	proteomics	2-DE	ENSG00000106211
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Fumarate hydratase 1	158186722	GI	19119913	upregulated	proteomics	2-DE	ENSG00000091483
