filename	tissue	time	group
GSM1697984_090926-Rat230_2-09266C_dM3_3d.CEL	Middle	03d	chitosan
GSM1697983_090926-Rat230_2-09266C_dM2_3d.CEL	Middle	03d	chitosan
GSM1697982_090926-Rat230_2-09266C_dM1_3d.CEL	Middle	03d	chitosan
GSM1697981_091114-Rat230_2-09266D_SC3-90d.CEL	Caudal	90d	Control
GSM1697980_091114-Rat230_2-09266D_SC2-90d.CEL	Caudal	90d	Control
GSM1697979_091114-Rat230_2-09266D_SC1-90d.CEL	Caudal	90d	Control
GSM1697978_091113-Rat230_2-09266D_SC3-60d.CEL	Caudal	60d	Control
GSM1697977_091120-Rat230_2-09266D_SC2-60d.CEL	Caudal	60d	Control
GSM1697976_091113-Rat230_2-09266D_SC1-60d.CEL	Caudal	60d	Control
GSM1697975_090930-Rat230_2-09266C_sC3_30d.CEL	Caudal	30d	Control
GSM1697974_090930-Rat230_2-09266C_sC2_30d.CEL	Caudal	30d	Control
GSM1697973_090930-Rat230_2-09266C_sC1_30d.CEL	Caudal	30d	Control
GSM1697972_090929-Rat230_2-09266C_sC3_20d.CEL	Caudal	20d	Control
GSM1697971_090929-Rat230_2-09266C_sC2_20d.CEL	Caudal	20d	Control
GSM1697970_090929-Rat230_2-09266C_sC1_20d.CEL	Caudal	20d	Control
GSM1697969_090828-Rat230_2-09266B_sc3-10d.CEL	Caudal	10d	Control
GSM1697968_090828-Rat230_2-09266B_sc2-10d.CEL	Caudal	10d	Control
GSM1697967_100108-Rat230_2-09266E_SC1-10d.CEL	Caudal	10d	Control
GSM1697966_090926-Rat230_2-09266C_sC3_3d.CEL	Caudal	03d	Control
GSM1697965_090926-Rat230_2-09266C_sC2_3d.CEL	Caudal	03d	Control
GSM1697964_090926-Rat230_2-09266C_sC1_3d.CEL	Caudal	03d	Control
GSM1697963_090929-Rat230_2-09266C_sC3_1d.CEL	Caudal	01d	Control
GSM1697962_090929-Rat230_2-09266C_sC2_1d.CEL	Caudal	01d	Control
GSM1697961_090929-Rat230_2-09266C_sC1_1d.CEL	Caudal	01d	Control
GSM1697960_091114-Rat230_2-09266D_KC3-90d.CEL	Caudal	90d	Tube
